msg,before,after
b'0\r\n',1582882473.4741416,1582882474.5053961
b'1\r\n',1582882474.5053961,1582882475.4898171
b'0\r\n',1582882475.4898171,1582882476.5213032
b'1\r\n',1582882476.5213032,1582882477.5057697
b'0\r\n',1582882477.5057697,1582882478.5213087
b'1\r\n',1582882478.5213087,1582882479.5056782
b'0\r\n',1582882479.5056782,1582882480.5369287
b'1\r\n',1582882480.5369287,1582882481.5213008
b'0\r\n',1582882481.5213008,1582882482.5525546
b'1\r\n',1582882482.5525546,1582882483.5837958
b'0\r\n',1582882483.5837958,1582882484.5681784
b'1\r\n',1582882484.5681784,1582882485.5525596
b'0\r\n',1582882485.5525596,1582882486.5681803
b'1\r\n',1582882486.5681803,1582882487.552561
b'0\r\n',1582882487.552561,1582882488.5838015
b'1\r\n',1582882488.5838015,1582882489.56818
b'0\r\n',1582882489.56818,1582882490.5995197
b'1\r\n',1582882490.5995197,1582882491.5838048
b'0\r\n',1582882491.5838048,1582882492.615021
b'1\r\n',1582882492.615021,1582882493.5994287
b'0\r\n',1582882493.5994287,1582882494.6340404
b'1\r\n',1582882494.6340404,1582882495.6027946
b'0\r\n',1582882495.6027946,1582882496.6340404
b'1\r\n',1582882496.6340404,1582882497.618415
b'0\r\n',1582882497.618415,1582882498.6582477
b'1\r\n',1582882498.6582477,1582882499.642627
b'0\r\n',1582882499.642627,1582882500.6582508
b'1\r\n',1582882500.6582508,1582882501.6426282
b'0\r\n',1582882501.6426282,1582882502.680476
b'1\r\n',1582882502.680476,1582882503.6960096
b'0\r\n',1582882503.6960096,1582882504.681979
b'1\r\n',1582882504.681979,1582882505.6663554
b'0\r\n',1582882505.6663554,1582882506.6978862
b'1\r\n',1582882506.6978862,1582882507.7291892
b'0\r\n',1582882507.7291892,1582882508.7134984
b'1\r\n',1582882508.7134984,1582882509.7447588
b'0\r\n',1582882509.7447588,1582882510.77579
b'1\r\n',1582882510.77579,1582882511.7603917
b'0\r\n',1582882511.7603917,1582882512.7760103
b'1\r\n',1582882512.7760103,1582882513.7603862
b'0\r\n',1582882513.7603862,1582882514.8073568
b'1\r\n',1582882514.8073568,1582882515.7922597
b'0\r\n',1582882515.7922597,1582882516.761107
b'1\r\n',1582882516.761107,1582882517.792262
b'0\r\n',1582882517.792262,1582882518.7847896
b'1\r\n',1582882518.7847896,1582882519.8160527
b'0\r\n',1582882519.8160527,1582882520.8004248
