before,msg,after
1582727664.826657,b'1\r\n',1582727665.8110404
1582727665.8110404,b'0\r\n',1582727666.7801983
1582727666.7801983,b'1\r\n',1582727667.7647765
1582727667.7647765,b'0\r\n',1582727668.733792
1582727668.733792,b'1\r\n',1582727669.7180147
1582727669.7180147,b'0\r\n',1582727670.7025695
1582727670.7025695,b'1\r\n',1582727671.6713135
1582727671.6713135,b'1\r\n',1582727672.1556993
1582727672.1556993,b'0\r\n',1582727673.140075
1582727673.140075,b'1\r\n',1582727674.1088212
1582727674.1088212,b'0\r\n',1582727675.0931969
1582727675.0931969,b'1\r\n',1582727676.072821
1582727676.072821,b'0\r\n',1582727677.0524356
1582727677.0524356,b'1\r\n',1582727678.0211868
1582727678.0211868,b'0\r\n',1582727679.0058205
1582727679.0058205,b'1\r\n',1582727679.9745777
1582727679.9745777,b'0\r\n',1582727680.9628189
1582727680.9628189,b'1\r\n',1582727681.9315906
1582727681.9315906,b'0\r\n',1582727682.9159646
1582727682.9159646,b'1\r\n',1582727683.8847156
1582727683.8847156,b'0\r\n',1582727684.8690941
1582727684.8690941,b'1\r\n',1582727685.850282
1582727685.850282,b'0\r\n',1582727686.8190336
1582727686.8190336,b'1\r\n',1582727687.788018
1582727687.788018,b'1\r\n',1582727688.7723749
1582727688.7723749,b'0\r\n',1582727689.2723782
1582727689.2723782,b'1\r\n',1582727690.241141
1582727690.241141,b'0\r\n',1582727691.2255077
1582727691.2255077,b'1\r\n',1582727692.1942244
1582727692.1942244,b'0\r\n',1582727693.1786265
1582727693.1786265,b'1\r\n',1582727694.1520567
1582727694.1520567,b'0\r\n',1582727695.12081
1582727695.12081,b'1\r\n',1582727696.1051846
1582727696.1051846,b'0\r\n',1582727697.0739348
1582727697.0739348,b'1\r\n',1582727698.0567422
1582727698.0567422,b'0\r\n',1582727699.041406
1582727699.041406,b'1\r\n',1582727700.01013
1582727700.01013,b'0\r\n',1582727700.9944842
1582727700.9944842,b'',1582727703.008349
